"variable","type"
"country","character"
"year","integer"
"iso_code","character"
"population","numeric"
"gdp","numeric"
"cement_co2","numeric"
"cement_co2_per_capita","numeric"
"co2","numeric"
"co2_growth_abs","numeric"
"co2_growth_prct","numeric"
"co2_including_luc","numeric"
"co2_including_luc_growth_abs","numeric"
"co2_including_luc_growth_prct","numeric"
"co2_including_luc_per_capita","numeric"
"co2_including_luc_per_gdp","numeric"
"co2_including_luc_per_unit_energy","numeric"
"co2_per_capita","numeric"
"co2_per_gdp","numeric"
"co2_per_unit_energy","numeric"
"coal_co2","numeric"
"coal_co2_per_capita","numeric"
"consumption_co2","numeric"
"consumption_co2_per_capita","numeric"
"consumption_co2_per_gdp","numeric"
"cumulative_cement_co2","numeric"
"cumulative_co2","numeric"
"cumulative_co2_including_luc","numeric"
"cumulative_coal_co2","numeric"
"cumulative_flaring_co2","numeric"
"cumulative_gas_co2","numeric"
"cumulative_luc_co2","numeric"
"cumulative_oil_co2","numeric"
"cumulative_other_co2","numeric"
"energy_per_capita","numeric"
"energy_per_gdp","numeric"
"flaring_co2","numeric"
"flaring_co2_per_capita","numeric"
"gas_co2","numeric"
"gas_co2_per_capita","numeric"
"ghg_excluding_lucf_per_capita","numeric"
"ghg_per_capita","numeric"
"land_use_change_co2","numeric"
"land_use_change_co2_per_capita","numeric"
"methane","numeric"
"methane_per_capita","numeric"
"nitrous_oxide","numeric"
"nitrous_oxide_per_capita","numeric"
"oil_co2","numeric"
"oil_co2_per_capita","numeric"
"other_co2_per_capita","numeric"
"other_industry_co2","numeric"
"primary_energy_consumption","numeric"
"share_global_cement_co2","numeric"
"share_global_co2","numeric"
"share_global_co2_including_luc","numeric"
"share_global_coal_co2","numeric"
"share_global_cumulative_cement_co2","numeric"
"share_global_cumulative_co2","numeric"
"share_global_cumulative_co2_including_luc","numeric"
"share_global_cumulative_coal_co2","numeric"
"share_global_cumulative_flaring_co2","numeric"
"share_global_cumulative_gas_co2","numeric"
"share_global_cumulative_luc_co2","numeric"
"share_global_cumulative_oil_co2","numeric"
"share_global_cumulative_other_co2","numeric"
"share_global_flaring_co2","numeric"
"share_global_gas_co2","numeric"
"share_global_luc_co2","numeric"
"share_global_oil_co2","numeric"
"share_global_other_co2","numeric"
"share_of_temperature_change_from_ghg","numeric"
"temperature_change_from_ch4","numeric"
"temperature_change_from_co2","numeric"
"temperature_change_from_ghg","numeric"
"temperature_change_from_n2o","numeric"
"total_ghg","numeric"
"total_ghg_excluding_lucf","numeric"
"trade_co2","numeric"
"trade_co2_share","numeric"
