"","co2_per_capita","gdp_per_capita","cement_co2_per_capita","coal_co2_per_capita","oil_co2_per_capita","gas_co2_per_capita","flaring_co2_per_capita","other_co2_per_capita","land_use_change_co2_per_capita","energy_per_capita","trade_co2_per_capita","methane_per_capita","nitrous_oxide_per_capita"
"co2_per_capita",1,0.375868209602965,0.293368608340505,0.682964252072732,0.701055238890247,0.590973113912379,0.39830484798708,0.593815477794527,0.128210293049548,0.740476127780552,-0.231644173498493,0.35230785199318,0.261786083231534
"gdp_per_capita",0.375868209602965,1,0.106004652628395,-0.062724365199208,0.555918427709431,0.346275860367156,0.142533415909675,0.234213632143507,0.125430809247281,0.660636556838903,0.313884957432599,0.189836828860472,0.127296508576826
"cement_co2_per_capita",0.293368608340505,0.106004652628395,1,0.0601733400229381,0.478582157078334,-0.0834572183410139,-0.229553251999021,0.0228310388329379,-0.135072745847031,0.074646144909165,-0.0668555278830008,-0.166548877304615,-0.11811297805951
"coal_co2_per_capita",0.682964252072732,-0.062724365199208,0.0601733400229381,1,0.0545652294973158,0.105046013518955,0.312886988938939,0.437098501298862,-0.00614461924989834,0.259873354578775,-0.354185048861332,0.272468376787888,0.183499513726272
"oil_co2_per_capita",0.701055238890247,0.555918427709431,0.478582157078334,0.0545652294973158,1,0.368113431194276,0.119733460373586,0.331141858801654,0.133678184318327,0.703542707340593,0.109925355026618,0.173350314004637,0.139934691640775
"gas_co2_per_capita",0.590973113912379,0.346275860367156,-0.0834572183410139,0.105046013518955,0.368113431194276,1,0.38198180479126,0.413191191615579,0.180292673419483,0.61087622215042,-0.188815106650879,0.257583555002945,0.215851765938749
"flaring_co2_per_capita",0.39830484798708,0.142533415909675,-0.229553251999021,0.312886988938939,0.119733460373586,0.38198180479126,1,0.217387591890485,0.280941043471645,0.364463934380581,-0.307411060304217,0.536882907819139,0.314854498561997
"other_co2_per_capita",0.593815477794527,0.234213632143507,0.0228310388329379,0.437098501298862,0.331141858801654,0.413191191615579,0.217387591890485,1,0.0755569890122543,0.433821135475534,-0.180019777284398,0.324392764580667,0.250302366267639
"land_use_change_co2_per_capita",0.128210293049548,0.125430809247281,-0.135072745847031,-0.00614461924989834,0.133678184318327,0.180292673419483,0.280941043471645,0.0755569890122543,1,0.244011165838336,-0.0710208618008599,0.489723582520291,0.378417258081508
"energy_per_capita",0.740476127780552,0.660636556838903,0.074646144909165,0.259873354578775,0.703542707340593,0.61087622215042,0.364463934380581,0.433821135475534,0.244011165838336,1,0.132314070704676,0.364704380797708,0.219812217119235
"trade_co2_per_capita",-0.231644173498493,0.313884957432599,-0.0668555278830008,-0.354185048861332,0.109925355026618,-0.188815106650879,-0.307411060304217,-0.180019777284398,-0.0710208618008599,0.132314070704676,1,-0.210378263433307,-0.141765919532922
"methane_per_capita",0.35230785199318,0.189836828860472,-0.166548877304615,0.272468376787888,0.173350314004637,0.257583555002945,0.536882907819139,0.324392764580667,0.489723582520291,0.364704380797708,-0.210378263433307,1,0.832218431539298
"nitrous_oxide_per_capita",0.261786083231534,0.127296508576826,-0.11811297805951,0.183499513726272,0.139934691640775,0.215851765938749,0.314854498561997,0.250302366267639,0.378417258081508,0.219812217119235,-0.141765919532922,0.832218431539298,1
